max_v_up,mean_v_up,min_v_up,max_v_dn,mean_v_dn,min_v_dn,max_v_dup,mean_v_dup,min_v_dup,max_v_ddn,mean_v_ddn,min_v_ddn,max_v_aup,mean_v_aup,min_v_aup,max_v_adn,mean_v_adn,min_v_adn,max_i_up,mean_i_up,min_i_up,max_i_dn,mean_i_dn,min_i_dn,max_i_dup,mean_i_dup,min_i_dup,max_i_ddn,mean_i_ddn,min_i_ddn,max_i_aup,mean_i_aup,min_i_aup,max_i_adn,mean_i_adn,min_i_adn,max_r_up,mean_r_up,min_r_up,max_r_dn,mean_r_dn,min_r_dn,max_r_dup,mean_r_dup,min_r_dup,max_r_ddn,mean_r_ddn,min_r_ddn,max_r_aup,mean_r_aup,min_r_aup,max_r_adn,mean_r_adn,min_r_adn,f_name,line_index,freq_index,RF
0.002874274,0.00082956,0.000394891,0.017585808,0.002476215,0.000362899,0.001409506,0.000904635,0.000439773,0.019382844,0.002522,0.000181917,0.17477357,0.030818449,0.008330986,0.17477357,0.030818449,0.008330986,0.54780275,0.048447115,0.002833583,0.13939725,0.03018479,0.002056417,0.66874,0.052066667,0,0.11505,0.03609619,0.00111,7.0023825,1.031467266,0.041111417,7.0023825,1.031467266,0.041111417,0.117946667,0.031411893,0.0109945,0.117493333,0.025290012,0.0077455,0.12245,0.034107619,0.01304,0.11,0.023629048,0.00789,0.824823333,0.285551389,0.137388,0.824823333,0.285551389,0.137388,m=10_day=20_h=19_mins=36.pickle,4516,4537,0
0.003393958,0.001681742,0.000473768,0.008807583,0.002783256,0.000377351,0.003319083,0.00143853,0.000146316,0.009840459,0.003186486,0.000427716,0.117344962,0.042111197,0.009720798,0.117344962,0.042111197,0.009720798,0.206043167,0.060235222,0.00324675,0.204419583,0.044183349,0.00267325,0.40925,0.076944286,0,0.1535,0.023130476,0,7.769308333,1.565510083,0.04686475,7.769308333,1.565510083,0.04686475,0.0186545,0.011814786,0.00717825,0.04465925,0.033703786,0.01365175,0.02302,0.012634286,0.00428,0.0461,0.035069524,0.01818,0.323777,0.262940456,0.184577,0.323777,0.262940456,0.184577,m=10_day=20_h=1_mins=34.pickle,5637,5621,0
0.002998239,0.000793959,0.000234294,0.017728055,0.002382834,0.000253324,0.001661743,0.000849282,0.00036858,0.019135106,0.002399592,2.76E-05,0.173477929,0.029111729,0.007769787,0.173477929,0.029111729,0.007769787,0.456201417,0.042248536,0.002424583,0.087868583,0.02838575,0.002565417,0.51786,0.051647619,0.00198,0.112,0.033853333,0.00289,4.874489667,0.883958405,0.05257125,4.874489667,0.883958405,0.05257125,0.138617583,0.032043528,0.00930575,0.164732417,0.032149806,0.006030583,0.13925,0.034596667,0.01238,0.16441,0.03318,0.0064,1.118664333,0.317113548,0.152495,1.118664333,0.317113548,0.152495,m=10_day=20_h=20_mins=15.pickle,3696,3570,0
0.00281789,0.001011592,0.000435574,0.054821429,0.013056724,0.002465248,0.000907951,0.000638521,0.000171059,0.056324165,0.013390382,0.002918974,0.221074841,0.056574047,0.016767101,0.221074841,0.056574047,0.016767101,1.629450417,0.194183341,0.002626417,0.240617667,0.065242849,0.002562833,1.69082,0.20631,0,0.15044,0.042638571,0,9.82418,2.058736571,0.054358583,9.82418,2.058736571,0.054358583,0.270775417,0.075125671,0.03103575,0.311144583,0.111517663,0.044981167,0.26439,0.072987619,0.02276,0.3157,0.114981905,0.04964,1.385794583,0.549990591,0.3291775,1.385794583,0.549990591,0.3291775,m=10_day=20_h=20_mins=49.pickle,4406,4409,0
0.003229078,0.000827425,0.000402508,0.017244257,0.002319726,0.000326381,0.001207941,0.000845064,0.000667268,0.019254696,0.002424725,0,0.20647105,0.033130478,0.010283868,0.20647105,0.033130478,0.010283868,0.489553833,0.041167234,0.003189833,0.107146167,0.024516099,0.002370167,0.5512,0.050646667,0.00235,0.07228,0.028647143,0.00223,5.718621167,0.79582856,0.048380667,5.718621167,0.79582856,0.048380667,0.018782,0.007529687,0.003892083,0.012811333,0.006964123,0.004706667,0.02097,0.011695714,0.00685,0.0085,0.004490952,6.00E-05,0.264768,0.150930869,0.09276875,0.264768,0.150930869,0.09276875,m=10_day=20_h=21_mins=26.pickle,4079,3399,0
0.002175712,0.000596726,0.000283775,0.018577743,0.002445615,0.000208097,0.001092385,0.000563746,0.000377506,0.019531466,0.002606959,0.000312111,0.114295927,0.020703613,0.006253397,0.114295927,0.020703613,0.006253397,0.42800375,0.036104631,0.002916917,0.09367625,0.025644417,0.002531833,0.51408,0.047938095,0.00314,0.04977,0.012537143,0,3.72275625,0.645938722,0.05024425,3.72275625,0.645938722,0.05024425,0.112016167,0.023553194,0.007395917,0.129553833,0.027971567,0.008447917,0.11452,0.023605714,0.00893,0.12733,0.029409524,0.00928,1.010486167,0.321079504,0.14571275,1.010486167,0.321079504,0.14571275,m=10_day=20_h=21_mins=8.pickle,1997,1775,0
0.031462139,0.007145942,0.003032305,0.541740401,0.082798162,0.010238617,0.007944186,0.004122942,0.002181369,0.568541861,0.085242082,0.006072284,2.173258756,0.385181082,0.10298732,2.173258756,0.385181082,0.10298732,13.62961192,1.692675873,0.002696333,1.57373475,0.457263175,0.002493333,13.60564,1.587312381,0,1.64289,0.461921429,0,57.16142008,16.50763978,0.053201667,57.16142008,16.50763978,0.053201667,2.918931583,0.551888778,0.1628435,2.319868417,0.367325508,0.0854465,2.8659,0.57184381,0.18896,2.36351,0.356218095,0.07192,8.826573333,2.463469794,1.2034835,8.826573333,2.463469794,1.2034835,m=10_day=20_h=22_mins=44.pickle,5919,5933,0
0.003415659,0.001380462,0.000239255,0.013117327,0.003111161,0.000136383,0.001886291,0.000758057,5.57E-06,0.016373388,0.003884806,0.000164832,0.297755917,0.071905474,0.004660233,0.297755917,0.071905474,0.004660233,0.204586,0.060790952,0.002844583,0.1557735,0.049648095,0.002561667,0.3432,0.091181429,0.00244,0.28839,0.039424286,0,7.316172,1.921570591,0.051644,7.316172,1.921570591,0.051644,0.0764425,0.024207274,0.006108333,0.0893775,0.039340345,0.010857667,0.07525,0.024320952,0.00511,0.09398,0.043773333,0.01715,0.4077575,0.290648647,0.16078425,0.4077575,0.290648647,0.16078425,m=10_day=20_h=2_mins=4.pickle,3929,3941,0
0.009191777,0.002894382,0.000431563,0.003583357,0.001623081,0.000458595,0.011249379,0.003478196,0.000578416,0.00309714,0.001042355,0,0.184770944,0.059915504,0.012781281,0.184770944,0.059915504,0.012781281,0.129517917,0.043401754,0.0026555,0.2367045,0.063536817,0.002384667,0.13861,0.030490952,0,0.3283,0.077301429,0,5.6997115,1.677186226,0.049860667,5.6997115,1.677186226,0.049860667,0.031714083,0.011758175,0.003923,0.041459,0.015607063,0.005596417,0.04208,0.017385238,0.00809,0.03108,0.011921429,0.00434,0.407393,0.189024179,0.084131583,0.407393,0.189024179,0.084131583,m=10_day=20_h=3_mins=16.pickle,1282,6393,0
0.011314215,0.002658831,0.000144112,0.005528088,0.001878835,0.000480616,0.015411462,0.00347896,0.000110291,0.002184392,0.001203405,0.000567633,0.356092203,0.083151247,0.004949202,0.356092203,0.083151247,0.004949202,0.139677833,0.038768413,0.00233975,0.156572167,0.043482063,0.002669167,0.29252,0.042957143,0.00239,0.19975,0.052223333,0,5.2812235,1.35077106,0.0509475,5.2812235,1.35077106,0.0509475,0.008756,0.005435234,0.003024083,0.008533917,0.004895718,0.00274125,0.01145,0.007487143,0.00295,0.00913,0.005905238,0.00323,0.182285,0.10412746,0.06529375,0.182285,0.10412746,0.06529375,m=10_day=20_h=4_mins=18.pickle,4378,641,0
0.004505998,0.00153983,0.000319415,0.012433894,0.002892859,0.000125571,0.001711065,0.000868968,0.000259554,0.016856252,0.003820083,0.000115222,0.358799292,0.08229474,0.004270105,0.358799292,0.08229474,0.004270105,0.193422417,0.050824155,0.002968583,0.120527583,0.040419655,0.002814667,0.27672,0.070001429,0.00284,0.29196,0.040369048,0,5.988340833,1.65218569,0.050742833,5.988340833,1.65218569,0.050742833,0.010934,0.006181413,0.003309,0.008916,0.005291921,0.00306575,0.01368,0.008908095,0.00539,0.00604,0.004179048,0.00046,0.197208,0.122013425,0.0662965,0.197208,0.122013425,0.0662965,m=10_day=20_h=4_mins=36.pickle,2799,685,0
0.013134964,0.003151495,0.000230013,0.003977885,0.00143289,0.000325672,0.016042383,0.003857519,0.000340512,0.001915868,0.000858577,0,0.261817849,0.063844349,0.007532183,0.261817849,0.063844349,0.007532183,0.088382,0.03205906,0.0023245,0.156598,0.045852369,0.002701417,0.17159,0.026305238,0,0.23321,0.064494762,0.00315,4.4392,1.26189252,0.05174,4.4392,1.26189252,0.05174,0.042741167,0.027876345,0.009745417,0.01496125,0.010204607,0.006864583,0.04396,0.030748095,0.014,0.0132,0.008355714,0.0047,0.280047,0.228505952,0.171704583,0.280047,0.228505952,0.171704583,m=10_day=20_h=5_mins=1.pickle,4548,4548,0
0.001767163,0.000457233,0.000232734,0.027871728,0.004997696,0.000935914,0.000834742,0.000345441,0.000111005,0.028878349,0.005141827,0.001043082,0.108251869,0.021695896,0.007751314,0.108251869,0.021695896,0.007751314,0.434083417,0.040223397,0.002423,0.071576583,0.019047556,0.002837,0.43804,0.045598571,0.004,0.08588,0.015802381,0,1.92293325,0.427995044,0.05882,1.92293325,0.427995044,0.05882,0.110550167,0.032575968,0.01033825,0.119299833,0.030913079,0.01116175,0.11553,0.034537143,0.00825,0.12156,0.02844,0.00747,0.628067833,0.258648028,0.1777955,0.628067833,0.258648028,0.1777955,m=10_day=20_h=6_mins=47.pickle,3157,4171,0
0.007962485,0.002570531,0.00025924,0.004581802,0.002356982,0.00042732,0.010375285,0.003236884,0.000353699,0.004282918,0.002014446,0.000240492,0.198376977,0.065332433,0.009808275,0.198376977,0.065332433,0.009808275,0.13396625,0.035448544,0.0021955,0.155464333,0.046955742,0.0020145,0.13284,0.031023333,0,0.20367,0.054772857,0,3.748237667,1.103527278,0.0493835,3.748237667,1.103527278,0.0493835,0.06800125,0.038815865,0.011640083,0.03458875,0.015009849,0.007891667,0.06805,0.041365238,0.01899,0.04021,0.015874762,0.00361,0.2931125,0.244316766,0.21004,0.2931125,0.244316766,0.21004,m=10_day=20_h=7_mins=43.pickle,4784,4783,0
0.015602513,0.003189543,0.000212306,0.005856957,0.001825069,0.000407443,0.017885034,0.003695549,0.000254118,0.003970984,0.001643178,0.000383388,0.255591027,0.054852531,0.005485214,0.255591027,0.054852531,0.005485214,0.125950333,0.040678202,0.00212775,0.1869775,0.056387988,0.002354583,0.13355,0.030696667,0,0.26417,0.073570952,0,5.333718667,1.449211817,0.041854,5.333718667,1.449211817,0.041854,0.08889375,0.03411771,0.0185355,0.04820625,0.015929433,0.0081445,0.09036,0.036388095,0.02058,0.04243,0.014805238,0.00751,0.409478333,0.275903619,0.2011065,0.409478333,0.275903619,0.2011065,m=10_day=20_h=9_mins=2.pickle,4215,4225,0
0.003432754,0.001410075,0.000417041,0.015081248,0.003652773,0.000149606,0.001547943,0.000894774,0.000188029,0.018488012,0.00446622,6.07E-05,0.275490185,0.06894325,0.006009453,0.275490185,0.06894325,0.006009453,0.22864175,0.066415163,0.002071583,0.194012583,0.051478647,0.00224775,0.374,0.089772857,0.00049,0.14267,0.040135238,0,6.706697667,2.001071964,0.0484705,6.706697667,2.001071964,0.0484705,0.0559855,0.021085365,0.007971583,0.0799945,0.03932273,0.01048475,0.05525,0.02046381,0.00176,0.0785,0.040847619,0.0162,0.3134065,0.271895071,0.219417,0.3134065,0.271895071,0.219417,m=10_day=26_h=0_mins=14.pickle,3134,3142,0
0.01501308,0.00362392,0.000308496,0.003932093,0.001460843,0.000311853,0.018814478,0.004589352,0.000276689,0.001574043,0.000732216,0,0.321267787,0.078021289,0.006285067,0.321267787,0.078021289,0.006285067,0.196553667,0.044344012,0.002475583,0.222067,0.067085512,0.002420917,0.08661,0.013402381,0,0.32872,0.094212857,0,7.034049,2.011589044,0.057035,7.034049,2.011589044,0.057035,0.070620083,0.036939944,0.0131155,0.054619917,0.019966246,0.007457917,0.07081,0.038716667,0.02145,0.05588,0.019230952,0.00423,0.2755425,0.236879135,0.189411,0.2755425,0.236879135,0.189411,m=10_day=26_h=10_mins=52.pickle,2132,2144,0
